Date,Open,High,Low,Close,Adj Close,Volume,Return
2/8/21,869.669983,877.77002,854.75,863.419983,863.419983,20161719,11.190003
2/9/21,855.119995,859.799988,841.75,849.460022,849.460022,15157651,-13.959961
2/10/21,843.63501,844.820007,800.02002,804.820007,804.820007,36216090,-44.640015
2/11/21,812.440002,829.879883,801.724976,811.659973,811.659973,21622753,6.839966
2/12/21,801.26001,817.330017,785.330627,816.119995,816.119995,23768313,4.460022
2/16/21,818,821,792.440002,796.219971,796.219971,19802324,-19.900024
2/17/21,779.090027,799.840027,762.01001,798.150024,798.150024,26078898,1.930053
2/18/21,780.900024,794.690002,776.27002,787.380005,787.380005,17957058,-10.770019
2/19/21,795,796.789917,777.369995,781.299988,781.299988,18958255,-6.080017
2/22/21,762.640015,768.5,710.200012,714.5,714.5,37269716,-66.799988
2/23/21,662.130005,713.609924,619,698.840027,698.840027,66606882,-15.659973
2/24/21,711.849976,745,694.169983,742.02002,742.02002,36766950,43.179993
2/25/21,726.150024,737.206604,670.580017,682.219971,682.219971,39023855,-59.800049
2/26/21,700,706.700012,659.51001,675.5,675.5,41089173,-6.719971
3/1/21,690.109985,872,685.049988,718.429993,718.429993,27136239,42.929993
3/2/21,718.280029,721.109985,685,686.440002,686.440002,23732158,-31.989991
3/3/21,687.98999,700.700012,651.705017,653.200012,653.200012,30207960,-33.23999
3/4/21,655.799988,873.940002,600,621.440002,621.440002,65919530,-31.76001
3/5/21,626.059998,627.841919,539.48999,597.950012,597.950012,89396459,-23.48999
3/8/21,600.549988,620.125,558.789978,563,563,51786958,-34.950012
3/9/21,608.179993,678.090027,595.210022,673.580017,673.580017,67523328,110.580017
3/10/21,700.299988,717.849976,655.059998,668.059998,668.059998,60605672,-5.520019
3/11/21,699.400024,702.5,677.179993,699.599976,699.599976,36253892,31.539978
3/12/21,670,694.880005,666.139404,693.72998,693.72998,33583840,-5.869996
3/15/21,694.090027,713.179993,684.039978,707.940002,707.940002,29423479,14.210022
3/16/21,703.349976,707.919983,671,676.880005,676.880005,32195672,-31.059997
3/17/21,656.869995,703.72998,651.01001,701.809998,701.809998,40372453,24.929993
3/18/21,684.289978,689.22998,652,653.159973,653.159973,33369022,-48.650025
3/19/21,646.599976,657.22998,624.620117,654.869995,654.869995,42893978,1.710022
3/22/21,684.590027,699.619995,668.75,670,670,39512221,15.130005
3/23/21,675.77002,677.799988,657.51001,662.159973,662.159973,30491870,-7.840027
3/24/21,667.909973,668.02002,630.109985,630.27002,630.27002,33795174,-31.889953
