date,status,value
2021-04-12T17:45Z,404,666
2021-04-12T17:45Z,499,415
2021-04-12T18:00Z,200,9571
2021-04-12T18:00Z,304,4796
2021-04-12T18:00Z,404,909
2021-04-12T18:00Z,302,841
2021-04-12T18:15Z,200,8833
2021-04-12T18:15Z,304,4474
2021-04-12T18:15Z,404,1509
2021-04-12T18:15Z,302,112
2021-04-12T18:15Z,401,19
2021-04-12T18:30Z,200,11833
2021-04-12T18:30Z,304,4135
2021-04-12T18:30Z,404,1312
2021-04-12T18:45Z,200,13154
2021-04-12T18:45Z,304,1912
2021-04-12T18:45Z,404,932
2021-04-12T18:45Z,302,265
2021-04-12T19:00Z,200,13894
2021-04-12T19:00Z,304,2784
2021-04-12T19:00Z,404,552
2021-04-12T19:00Z,302,594
2021-04-12T19:00Z,401,840
2021-04-12T19:15Z,200,11984
2021-04-12T19:15Z,304,3396
2021-04-12T19:15Z,404,3339
2021-04-12T19:15Z,302,739
2021-04-12T19:15Z,499,153
2021-04-12T19:30Z,200,9320
2021-04-12T19:30Z,404,3258
2021-04-12T19:30Z,304,3372
2021-04-12T19:30Z,302,1261
2021-04-12T19:30Z,499,785
2021-04-12T19:45Z,200,11642
2021-04-12T19:45Z,404,4783
2021-04-12T19:45Z,304,3280
2021-04-12T19:45Z,499,83
2021-04-12T19:45Z,302,630
2021-04-12T20:00Z,200,11892
2021-04-12T20:00Z,304,3676
2021-04-12T20:00Z,404,1568
2021-04-12T20:00Z,499,387
2021-04-12T20:15Z,200,11720
2021-04-12T20:15Z,404,4054
2021-04-12T20:15Z,304,3457
2021-04-12T20:15Z,302,657
2021-04-12T20:30Z,200,12985
2021-04-12T20:30Z,304,2926
2021-04-12T20:30Z,404,2417
2021-04-12T20:30Z,499,891
2021-04-12T20:30Z,302,380
2021-04-12T20:45Z,200,11101
2021-04-12T20:45Z,304,3808
2021-04-12T20:45Z,404,925
2021-04-12T20:45Z,401,368
2021-04-12T20:45Z,302,318
2021-04-12T21:00Z,200,12544
2021-04-12T21:00Z,304,2799
